#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000096660	0.0000000000	0.0000000000	0.0005413597	-0.0001587284	-0.0044470000	0.0044826414	0	20032018	80037
0.1000096660	0.0300000000	340.0000000000	-0.0000350000	-0.0001040000	-0.0042610000	0.0042624127	1	20032018	80037
0.1000096660	0.0600000000	70.0000000000	0.0005740000	-0.0002090000	-0.0041630000	0.0042075796	2	20032018	80037
0.1000096660	0.0900000000	340.0000000000	0.0008280000	0.0000980000	-0.0046020000	0.0046769212	3	20032018	80037
0.1000096660	0.1200000000	250.0000000000	0.0008580000	0.0001070000	-0.0040910000	0.0041813747	4	20032018	80037
0.1000096660	0.1500000000	70.0000000000	0.0010650000	-0.0000470000	-0.0037680000	0.0039158981	5	20032018	80037
0.1500240020	0.0000000000	0.0000000000	0.0005428072	-0.0001752179	-0.0054270000	0.0054568920	0	20032018	80040
0.1500240020	0.0300000000	340.0000000000	0.0000660000	-0.0000580000	-0.0052710000	0.0052717323	1	20032018	80040
0.1500240020	0.0600000000	70.0000000000	0.0006860000	-0.0001720000	-0.0051600000	0.0052082415	2	20032018	80040
0.1500240020	0.0900000000	340.0000000000	0.0011040000	0.0001080000	-0.0055240000	0.0056342751	3	20032018	80040
0.1500240020	0.1200000000	250.0000000000	0.0010050000	0.0000620000	-0.0049910000	0.0050915567	4	20032018	80040
0.1500240020	0.1500000000	70.0000000000	0.0014050000	0.0000080000	-0.0045790000	0.0047897108	5	20032018	80040
0.2000114140	0.0000000000	0.0000000000	0.0005898126	-0.0001220907	-0.0068090000	0.0068355882	0	20032018	80042
0.2000114140	0.0300000000	340.0000000000	0.0001390000	-0.0000370000	-0.0065450000	0.0065465804	1	20032018	80042
0.2000114140	0.0600000000	70.0000000000	0.0010140000	-0.0001550000	-0.0064680000	0.0065488354	2	20032018	80042
0.2000114140	0.0900000000	340.0000000000	0.0013790000	0.0001780000	-0.0067490000	0.0068907421	3	20032018	80042
0.2000114140	0.1200000000	250.0000000000	0.0014950000	0.0000390000	-0.0061320000	0.0063117327	4	20032018	80042
0.2000114140	0.1500000000	70.0000000000	0.0019480000	-0.0000130000	-0.0055770000	0.0059074362	5	20032018	80042
0.2500115050	0.0000000000	0.0000000000	0.0006206911	0.0000007568	-0.0085570000	0.0085794817	0	20032018	80044
0.2500115050	0.0300000000	340.0000000000	0.0002380000	0.0000130000	-0.0083090000	0.0083124181	1	20032018	80044
0.2500115050	0.0600000000	70.0000000000	0.0014150000	-0.0001580000	-0.0081650000	0.0082882093	2	20032018	80044
0.2500115050	0.0900000000	340.0000000000	0.0019170000	0.0001860000	-0.0083190000	0.0085390425	3	20032018	80044
0.2500115050	0.1200000000	250.0000000000	0.0020040000	0.0000680000	-0.0076920000	0.0079490568	4	20032018	80044
0.2500115050	0.1500000000	70.0000000000	0.0026670000	0.0000070000	-0.0069830000	0.0074749734	5	20032018	80044
0.3000242610	0.0000000000	0.0000000000	0.0006080674	0.0000713305	-0.0110150000	0.0110320016	0	20032018	80046
0.3000242610	0.0300000000	340.0000000000	0.0004740000	0.0000870000	-0.0107810000	0.0107917657	1	20032018	80046
0.3000242610	0.0600000000	70.0000000000	0.0019370000	-0.0001700000	-0.0104900000	0.0106686911	2	20032018	80046
0.3000242610	0.0900000000	340.0000000000	0.0026170000	0.0002590000	-0.0105820000	0.0109038752	3	20032018	80046
0.3000242610	0.1200000000	250.0000000000	0.0028190000	0.0000650000	-0.0098930000	0.0102870032	4	20032018	80046
0.3000242610	0.1500000000	70.0000000000	0.0037350000	-0.0000230000	-0.0086870000	0.0094559359	5	20032018	80046
0.3500085140	0.0000000000	0.0000000000	0.0006586069	0.0002306533	-0.0144930000	0.0145097902	0	20032018	80048
0.3500085140	0.0300000000	340.0000000000	0.0007980000	0.0001650000	-0.0141850000	0.0142083867	1	20032018	80048
0.3500085140	0.0600000000	70.0000000000	0.0027370000	-0.0001270000	-0.0137830000	0.0140527003	2	20032018	80048
0.3500085140	0.0900000000	340.0000000000	0.0036410000	0.0003760000	-0.0137070000	0.0141873220	3	20032018	80048
0.3500085140	0.1200000000	250.0000000000	0.0041010000	0.0000670000	-0.0127610000	0.0134039476	4	20032018	80048
0.3500085140	0.1500000000	70.0000000000	0.0053430000	0.0000370000	-0.0110830000	0.0123037355	5	20032018	80048
0.4000180970	0.0000000000	0.0000000000	0.0007792261	0.0004655661	-0.0195750000	0.0195960345	0	20032018	80050
0.4000180970	0.0300000000	340.0000000000	0.0012490000	0.0003890000	-0.0191330000	0.0191776696	1	20032018	80050
0.4000180970	0.0600000000	70.0000000000	0.0040550000	-0.0001320000	-0.0184850000	0.0189250013	2	20032018	80050
0.4000180970	0.0900000000	340.0000000000	0.0052640000	0.0005390000	-0.0181640000	0.0189190674	3	20032018	80050
0.4000180970	0.1200000000	250.0000000000	0.0059080000	0.0001190000	-0.0169250000	0.0179269141	4	20032018	80050
0.4000180970	0.1500000000	70.0000000000	0.0075450000	0.0000890000	-0.0143730000	0.0162332398	5	20032018	80050
0.4500245060	0.0000000000	0.0000000000	0.0009138646	0.0007273016	-0.0268530000	0.0268783877	0	20032018	80052
0.4500245060	0.0300000000	340.0000000000	0.0020580000	0.0007540000	-0.0262780000	0.0263692466	1	20032018	80052
0.4500245060	0.0600000000	70.0000000000	0.0059120000	0.0000350000	-0.0251780000	0.0258628044	2	20032018	80052
0.4500245060	0.0900000000	340.0000000000	0.0076300000	0.0007420000	-0.0245740000	0.0257419685	3	20032018	80052
0.4500245060	0.1200000000	250.0000000000	0.0087040000	0.0000700000	-0.0229640000	0.0245582942	4	20032018	80052
0.4500245060	0.1500000000	70.0000000000	0.0112130000	0.0001140000	-0.0191330000	0.0221769262	5	20032018	80052
0.5000103450	0.0000000000	0.0000000000	0.0009764818	0.0012823593	-0.0375630000	0.0375975655	0	20032018	80055
0.5000103450	0.0300000000	340.0000000000	0.0031930000	0.0011850000	-0.0369140000	0.0370707819	1	20032018	80055
0.5000103450	0.0600000000	70.0000000000	0.0088620000	-0.0000110000	-0.0353080000	0.0364031596	2	20032018	80055
0.5000103450	0.0900000000	340.0000000000	0.0112830000	0.0011480000	-0.0341870000	0.0360190916	3	20032018	80055
