#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
3.3250000000	0.0000000000	0.0000000000	-0.0036825780	0.0101564122	2.1102550000	2.1102826538	0	22032018	90522
3.3250000000	0.0000000000	0.0000000000	0.0085000000	-0.0083680000	2.1101340000	2.1101677117	0	22032018	90309
3.3250000000	0.0000000000	0.0000000000	0.0095332609	0.0005010962	2.1102160000	2.1102375935	0	22032018	90353
3.3250000000	0.0000000000	0.0000000000	-0.0120763886	-0.0052848723	2.1102740000	2.1103151717	0	22032018	90725
3.3250017090	0.0000000000	0.0000000000	0.0088678707	0.0026745741	2.1102110000	2.1102313278	0	22032018	90404
3.3250017090	0.0000000000	0.0000000000	-0.0028142866	-0.0135092502	2.1102180000	2.1102631181	0	22032018	90150
3.3250017090	0.0000000000	0.0000000000	0.0013741671	0.0090683909	2.1102080000	2.1102279325	0	22032018	90500
3.3250017090	0.0000000000	0.0000000000	-0.0105167765	-0.0094776211	2.1103020000	2.1103494874	0	22032018	90747
3.3250017090	0.0000000000	0.0000000000	-0.0110956236	0.0046412458	2.1103370000	2.1103712725	0	22032018	90618
3.3250017090	0.0000000000	0.0000000000	0.0079137964	0.0048590974	2.1102020000	2.1102224337	0	22032018	90415
3.3250017090	0.0000000000	0.0000000000	0.0051797759	0.0079878954	2.1102570000	2.1102784751	0	22032018	90438
3.3250017090	0.0000000000	0.0000000000	0.0093980673	-0.0042169871	2.1102600000	2.1102851405	0	22032018	90331
3.3250017090	0.0000000000	0.0000000000	0.0090213313	-0.0065205237	2.1101530000	2.1101823582	0	22032018	90320
3.3250017090	0.0000000000	0.0000000000	0.0034610000	0.0090810000	2.1102510000	2.1102733771	0	22032018	90449
3.3250017090	0.0000000000	0.0000000000	0.0019529986	-0.0139347486	2.1101510000	2.1101979135	0	22032018	90213
3.3250017090	0.0000000000	0.0000000000	-0.0123918945	-0.0001737563	2.1102220000	2.1102583914	0	22032018	90651
