#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000061650	0.0000000000	0.0000000000	-0.0005838151	-0.0001795018	-0.0099807625	0.0099994341	0	22052013	120000
0.1000061650	0.0000000000	0.0000000000	0.0004204616	0.0003436714	-0.0100047625	0.0100194896	0	22052013	120000
0.1000061650	0.0000000000	0.0000000000	0.0003906999	-0.0003604713	-0.0099277625	0.0099419845	0	22052013	120000
0.1000061650	0.0000000000	0.0000000000	0.0001486435	0.0004226087	-0.0099767625	0.0099868155	0	22052013	120000
0.1000077510	0.0000000000	0.0000000000	-0.0004377309	0.0001422942	-0.0099938017	0.0100043955	0	22052013	120000
0.1000077510	0.0000000000	0.0000000000	-0.0002599737	-0.0004722877	-0.0099918017	0.0100063352	0	22052013	120000
0.1000077510	0.0000000000	0.0000000000	-0.0002225744	0.0005135101	-0.0099828017	0.0099984780	0	22052013	120000
0.1000077510	0.0000000000	0.0000000000	0.0004520000	0.0000030000	-0.0099808017	0.0099910318	0	22052013	120000
0.1000093380	0.0000000000	0.0000000000	0.0000416990	-0.0004841138	-0.0099778409	0.0099896654	0	22052013	120000
0.1000255050	0.0000000000	0.0000000000	0.0004536815	-0.0002300414	-0.0100152402	0.0100281494	0	22052013	120000
0.1000445020	0.0000000000	0.0000000000	0.0004559962	-0.0002032153	-0.0099737093	0.0099861958	0	22052013	120000
0.1000761720	0.0000000000	0.0000000000	0.0002479378	-0.0004434409	-0.0099974914	0.0100103920	0	22052013	120000
0.1000761720	0.0000000000	0.0000000000	-0.0003772994	0.0002722079	-0.0099984914	0.0100093098	0	22052013	120000
0.1000777510	0.0000000000	0.0000000000	-0.0004950000	0.0000030000	-0.0099835304	0.0099957948	0	22052013	120000
0.1000809170	0.0000000000	0.0000000000	0.0003001051	0.0004317973	-0.0099836086	0.0099974473	0	22052013	120000
0.1000840840	0.0000000000	0.0000000000	0.0004822316	0.0001808388	-0.0099826868	0.0099959635	0	22052013	120000
0.1000904160	0.0000000000	0.0000000000	-0.0003856809	-0.0003680085	-0.0099998432	0.0100140423	0	22052013	120000
0.1000951690	0.0000000000	0.0000000000	-0.0000991555	-0.0005450626	-0.0100129605	0.0100282752	0	22052013	120000
0.1000951690	0.0000000000	0.0000000000	-0.0000406571	0.0004782050	-0.0099709605	0.0099825041	0	22052013	120000
0.1000840840	0.0300000000	20.0000000000	0.0001611106	-0.0001860000	-0.0098112517	0.0098143371	1	22052013	120000
0.1000061650	0.0300000000	40.0000000000	0.0000770183	-0.0001620000	-0.0097433330	0.0097449841	1	22052013	120000
0.1000809170	0.0300000000	60.0000000000	0.0001151068	-0.0002100000	-0.0098261737	0.0098290915	1	22052013	120000
0.1000061650	0.0300000000	80.0000000000	0.0000900183	-0.0001780000	-0.0098253330	0.0098273575	1	22052013	120000
0.1000951690	0.0300000000	100.0000000000	0.0001221237	-0.0001710000	-0.0098135246	0.0098157741	1	22052013	120000
0.1000077510	0.0300000000	120.0000000000	0.0001470202	-0.0001530000	-0.0098003721	0.0098026689	1	22052013	120000
0.1000761720	0.0300000000	140.0000000000	0.0001291012	-0.0001110000	-0.0097880569	0.0097895375	1	22052013	120000
0.1000077510	0.0300000000	160.0000000000	0.0001180202	-0.0001530000	-0.0098453721	0.0098472681	1	22052013	120000
0.1000777510	0.0300000000	180.0000000000	0.0001081031	-0.0001200000	-0.0097630957	0.0097644316	1	22052013	120000
0.1000061650	0.0300000000	200.0000000000	0.0001680183	-0.0001470000	-0.0098073330	0.0098098736	1	22052013	120000
