#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.8999536130	0.0000000000	-0.0000000000	-0.0000954542	-0.0005010364	-0.0002661020	0.0005752906	0	22052013	120000
0.8999584960	0.0000000000	-0.0000000000	-0.0005420000	0.0000430000	-0.0001941476	0.0005773268	0	22052013	120000
0.8999614260	0.0000000000	-0.0000000000	-0.0004387407	0.0003903391	-0.0002011750	0.0006207491	0	22052013	120000
0.8999614260	0.0000000000	-0.0000000000	0.0002743801	-0.0003092403	-0.0002701750	0.0004938710	0	22052013	120000
0.8999614260	0.0000000000	-0.0000000000	0.0002320577	0.0005819358	-0.0002321750	0.0006681357	0	22052013	120000
0.8999628910	0.0000000000	-0.0000000000	0.0004475735	-0.0000830901	-0.0002591887	0.0005238366	0	22052013	120000
0.8999741210	0.0000000000	-0.0000000000	-0.0004192913	-0.0002735028	-0.0002462936	0.0005579153	0	22052013	120000
0.8999755860	0.0000000000	-0.0000000000	0.0004458945	0.0002719027	-0.0002373073	0.0005736443	0	22052013	120000
0.8999770510	0.0000000000	-0.0000000000	0.0004234283	0.0002605331	-0.0002183209	0.0005429853	0	22052013	120000
0.8999790040	0.0000000000	-0.0000000000	-0.0001372632	0.0006114539	-0.0002373392	0.0006701097	0	22052013	120000
0.8999916990	0.0000000000	-0.0000000000	-0.0004315953	-0.0000889805	-0.0002814578	0.0005228867	0	22052013	120000
0.8999916990	0.0000000000	-0.0000000000	0.0003691897	-0.0002849842	-0.0002734578	0.0005406442	0	22052013	120000
0.8999936520	0.0000000000	-0.0000000000	-0.0005225382	0.0002455256	-0.0002344760	0.0006231436	0	22052013	120000
0.8999936520	0.0000000000	-0.0000000000	-0.0003521673	0.0005079716	-0.0002644760	0.0006723128	0	22052013	120000
0.8999936520	0.0000000000	-0.0000000000	0.0003984478	0.0004165781	-0.0001924760	0.0006077376	0	22052013	120000
0.8999936520	0.0000000000	-0.0000000000	0.0000991483	0.0005968506	-0.0003144760	0.0006818770	0	22052013	120000
0.8999936520	0.0000000000	-0.0000000000	0.0000551390	-0.0004797131	-0.0002314760	0.0005354868	0	22052013	120000
0.8999936520	0.0000000000	-0.0000000000	-0.0002458109	-0.0003557569	-0.0002784760	0.0005143295	0	22052013	120000
0.8999936520	0.0000000000	-0.0000000000	0.0004840000	0.0001220000	-0.0002284760	0.0005489456	0	22052013	120000
0.8999936520	0.0300000000	0.0000000000	-0.0003482779	0.0002230000	-0.0004741990	0.0006291988	1	22052013	120000
0.8999755860	0.0300000000	20.0000000000	-0.0002652841	0.0002310000	-0.0003980306	0.0005311921	1	22052013	120000
0.8999770510	0.0300000000	20.0000000000	-0.0002452836	0.0002490000	-0.0003700442	0.0005090165	1	22052013	120000
0.8999936520	0.0300000000	40.0000000000	-0.0002802779	0.0002310000	-0.0005351990	0.0006468034	1	22052013	120000
0.8999614260	0.0300000000	60.0000000000	-0.0001342890	0.0001600000	-0.0004708985	0.0005151494	1	22052013	120000
0.8999936520	0.0300000000	80.0000000000	-0.0002102779	0.0002060000	-0.0004841990	0.0005666582	1	22052013	120000
0.8999790040	0.0300000000	100.0000000000	-0.0001392829	0.0001070000	-0.0004660624	0.0004980591	1	22052013	120000
0.8999936520	0.0300000000	120.0000000000	-0.0001692779	0.0001530000	-0.0004461990	0.0005011562	1	22052013	120000
0.8999614260	0.0300000000	140.0000000000	-0.0002662890	0.0000770000	-0.0004618985	0.0005386920	1	22052013	120000
0.8999936520	0.0300000000	160.0000000000	-0.0002602779	0.0001720000	-0.0004641990	0.0005592936	1	22052013	120000
0.8999584960	0.0300000000	180.0000000000	-0.0003602900	0.0000840000	-0.0004908712	0.0006146702	1	22052013	120000
0.8999916990	0.0300000000	200.0000000000	-0.0003372785	0.0001670000	-0.0004191808	0.0005633457	1	22052013	120000
0.8999741210	0.0300000000	220.0000000000	-0.0003212846	0.0001960000	-0.0003960169	0.0005463233	1	22052013	120000
0.8999936520	0.0300000000	240.0000000000	-0.0003002779	0.0001510000	-0.0005251990	0.0006235397	1	22052013	120000
0.8999536130	0.0300000000	260.0000000000	-0.0002902917	0.0001500000	-0.0004958257	0.0005938118	1	22052013	120000
