#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000000000	0.0000000000	0.0000000000	-0.0004545694	-0.0005544571	-0.0004065905	0.0008242401	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0005040000	0.0004402856	-0.0003995905	0.0007794485	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0002286699	-0.0006264523	-0.0004045905	0.0007800165	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0001393614	0.0006537701	-0.0004175905	0.0007881744	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0000600558	-0.0004729265	-0.0003945905	0.0006188440	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0005043662	-0.0003279230	-0.0004635905	0.0007594965	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0002301007	0.0002827986	-0.0003805905	0.0005270394	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0003799223	-0.0000013150	-0.0004045905	0.0005550100	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0003827492	0.0006948785	-0.0004175905	0.0008965127	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0004750492	0.0002568174	-0.0004185905	0.0006832605	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0004829191	0.0006322157	-0.0004325905	0.0009055617	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0004166314	-0.0000609649	-0.0004105905	0.0005881182	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0004451871	-0.0007306851	-0.0004115905	0.0009494730	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0000166149	0.0004754263	-0.0004235905	0.0006369734	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0002541699	-0.0002055625	-0.0003845905	0.0005047456	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0001420899	-0.0006145716	-0.0003955905	0.0007445668	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	-0.0005250000	-0.0005047761	-0.0003775905	0.0008203649	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0001790648	0.0005804748	-0.0004005905	0.0007276592	0	22052013	120000
0.1000000000	0.0000000000	0.0000000000	0.0004544623	0.0002476931	-0.0003895905	0.0006478184	0	22052013	120000
0.1000000000	0.0300000000	20.0000000000	-0.0001552592	-0.0001798149	-0.0002805345	0.0003676117	1	22052013	120000
0.1000000000	0.0300000000	40.0000000000	-0.0002202592	-0.0001288221	-0.0002285345	0.0003425453	1	22052013	120000
0.1000000000	0.0300000000	60.0000000000	-0.0002012592	-0.0001453752	-0.0002335345	0.0003408483	1	22052013	120000
0.1000000000	0.0300000000	80.0000000000	-0.0001522592	-0.0001289114	-0.0002845345	0.0003475067	1	22052013	120000
0.1000000000	0.0300000000	100.0000000000	-0.0002082592	-0.0001152777	-0.0002685345	0.0003588476	1	22052013	120000
0.1000000000	0.0300000000	120.0000000000	-0.0001512592	-0.0001249600	-0.0002915345	0.0003514067	1	22052013	120000
0.1000000000	0.0300000000	140.0000000000	-0.0001542592	-0.0001099384	-0.0003135345	0.0003663144	1	22052013	120000
0.1000000000	0.0300000000	160.0000000000	-0.0001912592	-0.0001467510	-0.0002655345	0.0003586426	1	22052013	120000
0.1000000000	0.0300000000	180.0000000000	-0.0000912592	-0.0000964735	-0.0002265345	0.0002625895	1	22052013	120000
0.1000000000	0.0300000000	200.0000000000	-0.0002132592	-0.0001000523	-0.0002395345	0.0003359564	1	22052013	120000
0.1000000000	0.0300000000	220.0000000000	-0.0002002592	-0.0001636372	-0.0003145345	0.0004072012	1	22052013	120000
0.1000000000	0.0300000000	240.0000000000	-0.0001652592	-0.0001375833	-0.0002985345	0.0003679166	1	22052013	120000
0.1000000000	0.0300000000	260.0000000000	-0.0002032592	-0.0002033502	-0.0002445345	0.0003774423	1	22052013	120000
0.1000000000	0.0300000000	280.0000000000	-0.0002062592	-0.0001294007	-0.0002915345	0.0003798417	1	22052013	120000
0.1000000000	0.0300000000	300.0000000000	-0.0001612592	-0.0001227515	-0.0003175345	0.0003766970	1	22052013	120000
0.1000000000	0.0300000000	320.0000000000	-0.0002472592	-0.0001541663	-0.0002665345	0.0003948987	1	22052013	120000
0.1000000000	0.0300000000	340.0000000000	-0.0001792592	-0.0001572931	-0.0003355345	0.0004116532	1	22052013	120000
0.1000000000	0.0300000000	340.0000000000	-0.0001422592	-0.0001331805	-0.0002795345	0.0003407554	1	22052013	120000
0.1000000000	0.0300000000	360.0000000000	-0.0002132592	-0.0001422282	-0.0003005345	0.0003950055	1	22052013	120000
0.1000000000	0.0600000000	10.0000000000	-0.0000105226	0.0003037424	-0.0002663666	0.0004041304	2	22052013	120000
0.1000000000	0.0600000000	30.0000000000	0.0000304774	0.0002819428	-0.0002823666	0.0004001894	2	22052013	120000
0.1000000000	0.0600000000	50.0000000000	0.0000494774	0.0002029508	-0.0003343666	0.0003942564	2	22052013	120000
0.1000000000	0.0600000000	70.0000000000	-0.0000065226	0.0002187402	-0.0002793666	0.0003548740	2	22052013	120000
0.1000000000	0.0600000000	70.0000000000	0.0000224774	0.0003108902	-0.0002863666	0.0004232774	2	22052013	120000
0.1000000000	0.0600000000	90.0000000000	-0.0000115226	0.0002516911	-0.0002903666	0.0003844398	2	22052013	120000
0.1000000000	0.0600000000	110.0000000000	-0.0000005226	0.0002887892	-0.0002713666	0.0003962819	2	22052013	120000
0.1000000000	0.0600000000	130.0000000000	-0.0000675226	0.0003155947	-0.0001753666	0.0003673048	2	22052013	120000
0.1000000000	0.0600000000	150.0000000000	-0.0000055226	0.0003499552	-0.0001693666	0.0003888241	2	22052013	120000
0.1000000000	0.0600000000	170.0000000000	0.0000604774	0.0002871288	-0.0002733666	0.0004010359	2	22052013	120000
0.1000000000	0.0600000000	190.0000000000	-0.0000085226	0.0002718888	-0.0001953666	0.0003349094	2	22052013	120000
0.1000000000	0.0600000000	210.0000000000	0.0000754774	0.0003761333	-0.0003153666	0.0004966178	2	22052013	120000
0.1000000000	0.0600000000	230.0000000000	-0.0000925226	0.0003022846	-0.0002643666	0.0004120996	2	22052013	120000
0.1000000000	0.0600000000	250.0000000000	-0.0000945226	0.0002812790	-0.0002613666	0.0003954301	2	22052013	120000
0.1000000000	0.0600000000	270.0000000000	-0.0000105226	0.0002247938	-0.0002393666	0.0003285413	2	22052013	120000
0.1000000000	0.0600000000	290.0000000000	0.0000054774	0.0002688230	-0.0002713666	0.0003820152	2	22052013	120000
0.1000000000	0.0600000000	310.0000000000	0.0000294774	0.0002650247	-0.0002363666	0.0003563372	2	22052013	120000
0.1000000000	0.0600000000	330.0000000000	0.0000024774	0.0003166196	-0.0003693666	0.0004865036	2	22052013	120000
0.1000000000	0.0600000000	350.0000000000	0.0000314774	0.0004121464	-0.0001783666	0.0004501890	2	22052013	120000
0.1000000000	0.0900000000	20.0000000000	0.0000832054	0.0000430149	-0.0007230873	0.0007291287	3	22052013	120000
0.1000000000	0.0900000000	40.0000000000	0.0000882054	0.0000580817	-0.0006840873	0.0006921915	3	22052013	120000
0.1000000000	0.0900000000	60.0000000000	-0.0000087946	0.0000543945	-0.0007440873	0.0007461246	3	22052013	120000
0.1000000000	0.0900000000	80.0000000000	0.0000532054	0.0000547680	-0.0007810873	0.0007848106	3	22052013	120000
0.1000000000	0.0900000000	100.0000000000	0.0000822054	0.0001429569	-0.0007820873	0.0007992840	3	22052013	120000
0.1000000000	0.0900000000	120.0000000000	0.0000792054	-0.0000400374	-0.0007530873	0.0007582987	3	22052013	120000
0.1000000000	0.0900000000	140.0000000000	0.0001032054	0.0000361030	-0.0007720873	0.0007797907	3	22052013	120000
0.1000000000	0.0900000000	160.0000000000	0.0001062054	0.0001061515	-0.0007390873	0.0007541868	3	22052013	120000
0.1000000000	0.0900000000	180.0000000000	0.0000892054	0.0001030533	-0.0007240873	0.0007368039	3	22052013	120000
0.1000000000	0.0900000000	200.0000000000	0.0001112054	0.0000621615	-0.0007650873	0.0007756218	3	22052013	120000
0.1000000000	0.0900000000	220.0000000000	0.0001122054	-0.0000027927	-0.0007200873	0.0007287822	3	22052013	120000
0.1000000000	0.0900000000	240.0000000000	0.0000892054	-0.0000009877	-0.0007710873	0.0007762307	3	22052013	120000
0.1000000000	0.0900000000	260.0000000000	0.0000742054	0.0000870093	-0.0006620873	0.0006718903	3	22052013	120000
0.1000000000	0.0900000000	280.0000000000	0.0001142054	0.0000102152	-0.0007260873	0.0007350850	3	22052013	120000
0.1000000000	0.0900000000	300.0000000000	0.0001362054	0.0000213216	-0.0007690873	0.0007813461	3	22052013	120000
0.1000000000	0.0900000000	320.0000000000	0.0000982054	0.0000580921	-0.0007470873	0.0007557502	3	22052013	120000
0.1000000000	0.0900000000	340.0000000000	0.0000182054	0.0000365817	-0.0007320873	0.0007332267	3	22052013	120000
0.1000000000	0.0900000000	340.0000000000	0.0000892054	0.0000030053	-0.0007790873	0.0007841834	3	22052013	120000
0.1000000000	0.0900000000	360.0000000000	0.0000662054	-0.0000361286	-0.0007600873	0.0007638201	3	22052013	120000
