#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.7000000000	0.0000000000	-0.0000000000	-0.0004388226	0.0047750169	0.0002662359	0.0048025236	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0004377997	-0.0053082381	0.0002432359	0.0053318125	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	-0.0002208135	0.0020702749	0.0002652359	0.0020988442	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0001152766	-0.0017624474	0.0002632359	0.0017857219	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0005520000	-0.0062486305	0.0002492359	0.0062779141	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	-0.0002049308	0.0027648329	0.0002242359	0.0027814707	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	-0.0005338283	0.0062682735	0.0002442359	0.0062957030	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0000735361	-0.0002101914	0.0003202359	0.0003900500	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0003408527	-0.0034643874	0.0002742359	0.0034919000	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	-0.0005610000	0.0064251986	0.0002712359	0.0064553441	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0004744239	-0.0051429320	0.0002672359	0.0051716770	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0002710910	-0.0025709985	0.0002802359	0.0026003953	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	-0.0003884548	0.0047500925	0.0002462359	0.0047723064	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0004703196	-0.0054038221	0.0002712359	0.0054310278	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	-0.0000688620	0.0002387096	0.0002302359	0.0003387223	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	-0.0001125264	0.0018803016	0.0002772359	0.0019039580	0	22052013	120000
0.7000000000	0.0000000000	-0.0000000000	0.0004188784	-0.0044672932	0.0002002359	0.0044913541	0	22052013	120000
