#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.0999855880	0.0000000000	0.0000000000	0.0005860535	-0.0000700468	-0.0025841619	0.0026507089	0	0	120000
0.0999871670	0.0000000000	0.0000000000	-0.0005165055	-0.0001112332	-0.0026181648	0.0026709433	0	0	120000
0.0999871670	0.0000000000	0.0000000000	-0.0005570574	0.0001971618	-0.0026301648	0.0026957286	0	0	120000
0.0999871670	0.0000000000	0.0000000000	0.0000752147	-0.0005087335	-0.0025801648	0.0026309157	0	0	120000
0.0999887540	0.0000000000	0.0000000000	-0.0002978125	-0.0005133056	-0.0025851678	0.0026524079	0	0	120000
0.0999887540	0.0000000000	0.0000000000	0.0003755046	-0.0003325048	-0.0025611678	0.0026098168	0	0	120000
0.0999903340	0.0000000000	0.0000000000	0.0003814739	0.0003684146	-0.0025711708	0.0026252945	0	0	120000
0.0999919200	0.0000000000	0.0000000000	-0.0002422600	0.0004449921	-0.0025411738	0.0025911913	0	0	120000
0.0999966660	0.0000000000	0.0000000000	0.0000806025	0.0004886435	-0.0025001827	0.0025487610	0	0	120000
0.1000175860	0.0000000000	0.0000000000	0.0005732372	-0.0001620875	-0.0026072221	0.0026744122	0	0	120000
0.1000634990	0.0000000000	0.0000000000	-0.0004314761	-0.0002993724	-0.0025943086	0.0026469289	0	0	120000
0.1000634990	0.0000000000	0.0000000000	0.0002702946	0.0004946848	-0.0025763086	0.0026372596	0	0	120000
0.1000634990	0.0000000000	0.0000000000	-0.0003591936	0.0003414166	-0.0025713086	0.0026186281	0	0	120000
0.1000634990	0.0000000000	0.0000000000	0.0005417156	0.0001302630	-0.0025843086	0.0026436859	0	0	120000
0.1000698320	0.0000000000	0.0000000000	-0.0005379471	0.0000169521	-0.0025753205	0.0026309599	0	0	120000
0.1000714190	0.0000000000	0.0000000000	0.0002518400	-0.0005168164	-0.0025443235	0.0026084679	0	0	120000
0.1000714190	0.0000000000	0.0000000000	-0.0001031131	0.0005717137	-0.0026333235	0.0026966426	0	0	120000
0.1000729980	0.0000000000	0.0000000000	-0.0000991859	-0.0005021907	-0.0026083265	0.0026580821	0	0	120000
0.1000793380	0.0000000000	0.0000000000	0.0004899910	-0.0002680041	-0.0025413384	0.0026019835	0	0	120000
0.1000634990	0.0300000000	20.0000000000	-0.0001632986	-0.0001800972	-0.0024787566	0.0024906497	1	0	120000
0.0999903340	0.0300000000	40.0000000000	-0.0001712580	-0.0001076811	-0.0024127615	0.0024212274	1	0	120000
0.1000634990	0.0300000000	60.0000000000	-0.0002175502	-0.0001883399	-0.0024290094	0.0024459940	1	0	120000
0.0999966660	0.0300000000	80.0000000000	-0.0001589081	-0.0002173530	-0.0023939482	0.0024090418	1	0	120000
0.1000714190	0.0300000000	100.0000000000	-0.0001391589	-0.0001870827	-0.0024481002	0.0024591786	1	0	120000
0.0999919200	0.0300000000	120.0000000000	-0.0002002812	-0.0001989233	-0.0024189070	0.0024353222	1	0	120000
0.1000634990	0.0300000000	140.0000000000	-0.0002803717	-0.0001742550	-0.0024529487	0.0024750617	1	0	120000
0.0999871670	0.0300000000	160.0000000000	-0.0001946708	-0.0001364022	-0.0024186737	0.0024303261	1	0	120000
0.1000698320	0.0300000000	180.0000000000	-0.0002104933	-0.0001685847	-0.0024306755	0.0024455903	1	0	120000
0.0999871670	0.0300000000	200.0000000000	-0.0001372359	-0.0001309052	-0.0024193624	0.0024267848	1	0	120000
