#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.7000009770	0.0000000000	-0.0000000000	-0.0004527808	-0.0001775457	0.0003298088	0.0005876281	0	0	120000
0.6999980470	0.0000000000	-0.0000000000	0.0004238416	-0.0002613423	0.0003068290	0.0005848808	0	0	120000
0.6999980470	0.0000000000	-0.0000000000	-0.0002347716	-0.0003954639	0.0003288290	0.0005653652	0	0	120000
0.6999980470	0.0000000000	-0.0000000000	0.0001013185	-0.0003944189	0.0003268290	0.0005221579	0	0	120000
0.6999960940	0.0000000000	-0.0000000000	0.0005380420	0.0001009960	0.0003128424	0.0006305234	0	0	120000
0.6999960940	0.0000000000	-0.0000000000	-0.0002188888	0.0004799465	0.0002878424	0.0006009278	0	0	120000
0.6999960940	0.0000000000	-0.0000000000	-0.0005477863	0.0002318070	0.0003078424	0.0006697546	0	0	120000
0.6999946290	0.0000000000	-0.0000000000	0.0000595782	0.0006821494	0.0003838524	0.0007849968	0	0	120000
0.6999931640	0.0000000000	-0.0000000000	0.0003268949	0.0004768756	0.0003378625	0.0006696430	0	0	120000
0.6999912110	0.0000000000	-0.0000000000	-0.0005749578	0.0000789956	0.0003348759	0.0006700437	0	0	120000
0.6999897460	0.0000000000	-0.0000000000	0.0004604662	0.0003219237	0.0003308860	0.0006520349	0	0	120000
0.6999897460	0.0000000000	-0.0000000000	0.0002571333	0.0005745388	0.0003438860	0.0007172656	0	0	120000
0.6999877930	0.0000000000	-0.0000000000	-0.0004024124	0.0003719178	0.0003098994	0.0006295207	0	0	120000
0.6999877930	0.0000000000	-0.0000000000	0.0004563620	0.0000142470	0.0003348994	0.0005662393	0	0	120000
0.6999877930	0.0000000000	-0.0000000000	-0.0000828196	-0.0004939924	0.0002938994	0.0005807447	0	0	120000
0.6999848630	0.0000000000	-0.0000000000	-0.0001264838	0.0006498876	0.0003409196	0.0007447001	0	0	120000
0.6999848630	0.0000000000	-0.0000000000	0.0004049210	0.0003634286	0.0002639196	0.0006047271	0	0	120000
0.6999848630	0.0000000000	-0.0000000000	0.0002599349	-0.0004214005	0.0003229196	0.0005911189	0	0	120000
