#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000061650	0.0000000000	0.0000000000	-0.0006367370	-0.0001730291	-0.0101573830	0.0101787918	0	0	120000
0.1000061650	0.0000000000	0.0000000000	0.0003675397	0.0003501441	-0.0101813830	0.0101940299	0	0	120000
0.1000061650	0.0000000000	0.0000000000	0.0003377780	-0.0003539986	-0.0101043830	0.0101162229	0	0	120000
0.1000061650	0.0000000000	0.0000000000	0.0000957216	0.0004290814	-0.0101533830	0.0101628962	0	0	120000
0.1000077510	0.0000000000	0.0000000000	-0.0004906531	0.0001487669	-0.0101704226	0.0101833377	0	0	120000
0.1000077510	0.0000000000	0.0000000000	-0.0003128959	-0.0004658150	-0.0101684226	0.0101838944	0	0	120000
0.1000077510	0.0000000000	0.0000000000	-0.0002754966	0.0005199828	-0.0101594226	0.0101764507	0	0	120000
0.1000077510	0.0000000000	0.0000000000	0.0003990778	0.0000094727	-0.0101574226	0.0101652637	0	0	120000
0.1000093380	0.0000000000	0.0000000000	-0.0000112234	-0.0004776411	-0.0101544622	0.0101656957	0	0	120000
0.1000255050	0.0000000000	0.0000000000	0.0004007564	-0.0002235684	-0.0101918656	0.0102021916	0	0	120000
0.1000445020	0.0000000000	0.0000000000	0.0004030679	-0.0001967419	-0.0101503397	0.0101602444	0	0	120000
0.1000761720	0.0000000000	0.0000000000	0.0001950042	-0.0004369669	-0.0101741301	0.0101853763	0	0	120000
0.1000761720	0.0000000000	0.0000000000	-0.0004302330	0.0002786819	-0.0101751301	0.0101880340	0	0	120000
0.1000777510	0.0000000000	0.0000000000	-0.0005479338	0.0000094740	-0.0101601695	0.0101749381	0	0	120000
0.1000809170	0.0000000000	0.0000000000	0.0002471707	0.0004382714	-0.0101602485	0.0101727000	0	0	120000
0.1000840840	0.0000000000	0.0000000000	0.0004292967	0.0001873130	-0.0101593275	0.0101701189	0	0	120000
0.1000904160	0.0000000000	0.0000000000	-0.0004386168	-0.0003615342	-0.0101764856	0.0101923477	0	0	120000
0.1000951690	0.0000000000	0.0000000000	-0.0001520922	-0.0005385882	-0.0101896042	0.0102049617	0	0	120000
0.1000951690	0.0000000000	0.0000000000	-0.0000935938	0.0004846794	-0.0101476042	0.0101596036	0	0	120000
0.1000840840	0.0300000000	20.0000000000	0.0001542321	-0.0001354123	-0.0099888668	0.0099909751	1	0	120000
0.1000061650	0.0300000000	40.0000000000	0.0000883929	-0.0001087851	-0.0099192023	0.0099201926	1	0	120000
0.1000809170	0.0300000000	60.0000000000	0.0001445347	-0.0001605522	-0.0100003520	0.0100026850	1	0	120000
0.1000061650	0.0300000000	80.0000000000	0.0001351087	-0.0001383030	-0.0099980044	0.0099998737	1	0	120000
0.1000951690	0.0300000000	100.0000000000	0.0001786308	-0.0001458195	-0.0099851303	0.0099877925	1	0	120000
0.1000077510	0.0300000000	120.0000000000	0.0002092755	-0.0001453835	-0.0099714013	0.0099746567	1	0	120000
0.1000761720	0.0300000000	140.0000000000	0.0001907987	-0.0001218603	-0.0099591459	0.0099617188	1	0	120000
0.1000077510	0.0300000000	160.0000000000	0.0001728706	-0.0001810243	-0.0100170818	0.0100202087	1	0	120000
0.1000777510	0.0300000000	180.0000000000	0.0001506859	-0.0001618227	-0.0099359765	0.0099384366	1	0	120000
0.1000061650	0.0300000000	200.0000000000	0.0001943530	-0.0001975627	-0.0099817278	0.0099855743	1	0	120000
0.1000904160	0.0300000000	220.0000000000	0.0001582079	-0.0002132298	-0.0099845491	0.0099880788	1	0	120000
0.1000077510	0.0300000000	240.0000000000	0.0001180561	-0.0001794502	-0.0100032023	0.0100055083	1	0	120000
0.1000951690	0.0300000000	260.0000000000	0.0001924705	-0.0001947286	-0.0100308677	0.0100346037	1	0	120000
0.1000093380	0.0300000000	280.0000000000	0.0000869609	-0.0001901911	-0.0099848191	0.0099870089	1	0	120000
0.1000761720	0.0300000000	300.0000000000	0.0000842589	-0.0001966245	-0.0100040393	0.0100063262	1	0	120000
0.1000061650	0.0300000000	320.0000000000	0.0000597571	-0.0001741342	-0.0099942525	0.0099959480	1	0	120000
0.1000255050	0.0300000000	340.0000000000	0.0000806217	-0.0001359559	-0.0100230963	0.0100243426	1	0	120000
0.1000445020	0.0300000000	340.0000000000	0.0001116418	-0.0001359543	-0.0099865693	0.0099881187	1	0	120000
0.1000077510	0.0300000000	360.0000000000	0.0001018930	-0.0001481663	-0.0099654995	0.0099671217	1	0	120000
0.1000093380	0.0600000000	10.0000000000	0.0006054241	-0.0002592711	-0.0100142541	0.0100358879	2	0	120000
0.1000761720	0.0600000000	30.0000000000	0.0006248818	-0.0001975125	-0.0099466156	0.0099681819	2	0	120000
0.1000061650	0.0600000000	50.0000000000	0.0006529105	-0.0001711081	-0.0098884232	0.0099114320	2	0	120000
0.1000255050	0.0600000000	70.0000000000	0.0006458530	-0.0002139457	-0.0099556743	0.0099788952	2	0	120000
0.1000445020	0.0600000000	70.0000000000	0.0007099000	-0.0001879430	-0.0100321424	0.0100589842	2	0	120000
0.1000077510	0.0600000000	90.0000000000	0.0007503698	-0.0002082161	-0.0099946398	0.0100249306	2	0	120000
0.1000840840	0.0600000000	110.0000000000	0.0006991597	-0.0002274273	-0.0100148635	0.0100418145	2	0	120000
0.1000061650	0.0600000000	130.0000000000	0.0007595597	-0.0002116406	-0.0099734288	0.0100045492	2	0	120000
0.1000809170	0.0600000000	150.0000000000	0.0006830383	-0.0002296567	-0.0099679559	0.0099939696	2	0	120000
0.1000061650	0.0600000000	170.0000000000	0.0006982734	-0.0002612982	-0.0098749210	0.0099030261	2	0	120000
0.1000951690	0.0600000000	190.0000000000	0.0007052049	-0.0003177068	-0.0100388228	0.0100685757	2	0	120000
0.1000077510	0.0600000000	210.0000000000	0.0006817067	-0.0003014637	-0.0100119533	0.0100396620	2	0	120000
0.1000761720	0.0600000000	230.0000000000	0.0006696725	-0.0002979188	-0.0099631068	0.0099900307	2	0	120000
0.1000077510	0.0600000000	250.0000000000	0.0006095978	-0.0002500881	-0.0100446469	0.0100662349	2	0	120000
0.1000777510	0.0600000000	270.0000000000	0.0005321678	-0.0003488312	-0.0100459765	0.0100661080	2	0	120000
0.1000061650	0.0600000000	290.0000000000	0.0006603867	-0.0002595937	-0.0099738682	0.0099990773	2	0	120000
0.1000904160	0.0600000000	310.0000000000	0.0006559675	-0.0002523574	-0.0100254666	0.0100500726	2	0	120000
0.1000077510	0.0600000000	330.0000000000	0.0005925054	-0.0001863202	-0.0100477367	0.0100669157	2	0	120000
0.1000951690	0.0600000000	350.0000000000	0.0006143032	-0.0002376514	-0.0099710860	0.0099928175	2	0	120000
0.1000840840	0.0900000000	20.0000000000	0.0010543952	0.0000950330	-0.0104039306	0.0104576552	3	0	120000
0.1000061650	0.0900000000	40.0000000000	0.0010707649	0.0000586155	-0.0104169474	0.0104719992	3	0	120000
0.1000809170	0.0900000000	60.0000000000	0.0010864685	0.0000868757	-0.0103567224	0.0104139167	3	0	120000
0.1000061650	0.0900000000	80.0000000000	0.0010543258	0.0000762265	-0.0103225223	0.0103765061	3	0	120000
0.1000951690	0.0900000000	100.0000000000	0.0011186542	0.0000548749	-0.0103334785	0.0103939971	3	0	120000
0.1000077510	0.0900000000	120.0000000000	0.0010878870	0.0000505188	-0.0103457234	0.0104028863	3	0	120000
0.1000761720	0.0900000000	140.0000000000	0.0010425833	-0.0000077363	-0.0103405111	0.0103929404	3	0	120000
0.1000077510	0.0900000000	160.0000000000	0.0010377288	-0.0000296962	-0.0103997291	0.0104514175	3	0	120000
0.1000777510	0.0900000000	180.0000000000	0.0011111291	-0.0000073362	-0.0103388275	0.0103983661	3	0	120000
0.1000061650	0.0900000000	200.0000000000	0.0010971834	-0.0000229836	-0.0103856045	0.0104434247	3	0	120000
0.1000904160	0.0900000000	220.0000000000	0.0010478522	-0.0000016317	-0.0104227374	0.0104752781	3	0	120000
0.1000077510	0.0900000000	240.0000000000	0.0009841096	-0.0000399055	-0.0103207717	0.0103676609	3	0	120000
0.1000951690	0.0900000000	260.0000000000	0.0010292474	0.0000077021	-0.0103622925	0.0104132855	3	0	120000
0.1000093380	0.0900000000	280.0000000000	0.0010309115	-0.0000319196	-0.0103824142	0.0104335192	3	0	120000
0.1000761720	0.0900000000	300.0000000000	0.0009475581	0.0000184610	-0.0103206828	0.0103641064	3	0	120000
0.1000061650	0.0900000000	320.0000000000	0.0010128793	0.0000137571	-0.0103828483	0.0104321452	3	0	120000
0.1000255050	0.0900000000	340.0000000000	0.0010145742	0.0000997517	-0.0103284364	0.0103786276	3	0	120000
0.1000445020	0.0900000000	340.0000000000	0.0009956389	0.0000297533	-0.0104008991	0.0104484871	3	0	120000
0.1000077510	0.0900000000	360.0000000000	0.0010154088	0.0000763867	-0.0103515955	0.0104015586	3	0	120000
0.1000951690	0.1200000000	10.0000000000	0.0011883790	0.0001269784	-0.0098476765	0.0099199345	4	0	120000
0.1000077510	0.1200000000	30.0000000000	0.0012114203	0.0001876033	-0.0098621825	0.0099380771	4	0	120000
0.1000761720	0.1200000000	50.0000000000	0.0012340204	0.0001170232	-0.0098420568	0.0099198076	4	0	120000
0.1000077510	0.1200000000	70.0000000000	0.0012537339	0.0000582739	-0.0098891457	0.0099684726	4	0	120000
0.1000777510	0.1200000000	90.0000000000	0.0012249282	0.0001182147	-0.0098597512	0.0099362527	4	0	120000
0.1000061650	0.1200000000	110.0000000000	0.0012377314	0.0000672701	-0.0098558281	0.0099334713	4	0	120000
0.1000904160	0.1200000000	130.0000000000	0.0012635907	0.0001263786	-0.0098268246	0.0099085375	4	0	120000
0.1000077510	0.1200000000	150.0000000000	0.0012286649	0.0000156826	-0.0098222001	0.0098987615	4	0	120000
0.1000951690	0.1200000000	170.0000000000	0.0012749914	0.0000662975	-0.0099077938	0.0099897135	4	0	120000
0.1000093380	0.1200000000	190.0000000000	0.0013140192	0.0000151016	-0.0098290307	0.0099164872	4	0	120000
0.1000761720	0.1200000000	210.0000000000	0.0012289223	-0.0000195899	-0.0098360211	0.0099125145	4	0	120000
0.1000061650	0.1200000000	230.0000000000	0.0011913133	0.0000599575	-0.0098481092	0.0099200845	4	0	120000
0.1000255050	0.1200000000	250.0000000000	0.0011483322	0.0001066527	-0.0098158639	0.0098833813	4	0	120000
0.1000445020	0.1200000000	250.0000000000	0.0012604191	0.0000456501	-0.0098473169	0.0099277586	4	0	120000
0.1000077510	0.1200000000	270.0000000000	0.0011733380	0.0000727141	-0.0098355126	0.0099055196	4	0	120000
0.1000840840	0.1200000000	290.0000000000	0.0011644925	0.0000456768	-0.0098665718	0.0099351582	4	0	120000
0.1000061650	0.1200000000	310.0000000000	0.0011546704	0.0000316243	-0.0098427188	0.0099102662	4	0	120000
0.1000809170	0.1200000000	330.0000000000	0.0011845566	0.0001083757	-0.0098151607	0.0098869763	4	0	120000
0.1000061650	0.1200000000	350.0000000000	0.0011543564	0.0001267724	-0.0099178447	0.0099856023	4	0	120000
0.1000093380	0.1500000000	10.0000000000	0.0015657481	0.0000004014	-0.0096622694	0.0097883103	5	0	120000
0.1000761720	0.1500000000	30.0000000000	0.0015589459	0.0000339713	-0.0096429597	0.0097682208	5	0	120000
0.1000061650	0.1500000000	50.0000000000	0.0015731656	0.0000213679	-0.0096720551	0.0097991814	5	0	120000
0.1000255050	0.1500000000	70.0000000000	0.0014566902	0.0000387095	-0.0096538009	0.0097631612	5	0	120000
0.1000445020	0.1500000000	70.0000000000	0.0015527999	0.0000847121	-0.0097432404	0.0098665646	5	0	120000
0.1000077510	0.1500000000	90.0000000000	0.0015599445	0.0000407895	-0.0097241931	0.0098486051	5	0	120000
0.1000840840	0.1500000000	110.0000000000	0.0015472114	0.0000070581	-0.0097000075	0.0098226300	5	0	120000
0.1000061650	0.1500000000	130.0000000000	0.0016171087	-0.0000186069	-0.0096539799	0.0097884991	5	0	120000
0.1000809170	0.1500000000	150.0000000000	0.0015921470	-0.0000540792	-0.0096733467	0.0098036469	5	0	120000
0.1000061650	0.1500000000	170.0000000000	0.0015449690	-0.0000332536	-0.0097169314	0.0098390442	5	0	120000
0.1000951690	0.1500000000	190.0000000000	0.0015944410	-0.0000943301	-0.0096864578	0.0098172605	5	0	120000
0.1000077510	0.1500000000	210.0000000000	0.0016091576	-0.0000739306	-0.0096842804	0.0098173388	5	0	120000
0.1000761720	0.1500000000	230.0000000000	0.0015599257	-0.0001614161	-0.0096821493	0.0098083352	5	0	120000
0.1000077510	0.1500000000	250.0000000000	0.0014930815	-0.0000937943	-0.0097262791	0.0098406603	5	0	120000
0.1000777510	0.1500000000	270.0000000000	0.0015030524	-0.0000538926	-0.0097101277	0.0098259173	5	0	120000
0.1000061650	0.1500000000	290.0000000000	0.0016397767	0.0000148856	-0.0097284315	0.0098656712	5	0	120000
