#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000045850	0.0000000000	0.0000000000	0.0003941478	0.0003141746	-0.0003877962	0.0006359592	0	0	120000
0.1000045850	0.0000000000	0.0000000000	-0.0004805468	0.0002303029	-0.0004377962	0.0006896595	0	0	120000
0.1000045850	0.0000000000	0.0000000000	0.0005827052	-0.0000748318	-0.0003877962	0.0007039397	0	0	120000
0.1000061650	0.0000000000	0.0000000000	-0.0002695724	0.0005005706	-0.0004497965	0.0007249532	0	0	120000
0.1000061650	0.0000000000	0.0000000000	0.0000869907	0.0005067067	-0.0003217965	0.0006065246	0	0	120000
0.1000061650	0.0000000000	0.0000000000	0.0003464755	-0.0004017663	-0.0003547965	0.0006382335	0	0	120000
0.1000077510	0.0000000000	0.0000000000	-0.0002778474	-0.0004365669	-0.0004077968	0.0006588536	0	0	120000
0.1000077510	0.0000000000	0.0000000000	0.0000760984	-0.0005194606	-0.0004117968	0.0006672382	0	0	120000
0.1000077510	0.0000000000	0.0000000000	-0.0005064540	-0.0001617110	-0.0003907968	0.0006598244	0	0	120000
0.1000239180	0.0000000000	0.0000000000	-0.0003743525	0.0003975859	-0.0003657995	0.0006572850	0	0	120000
0.1000302510	0.0000000000	0.0000000000	0.0004719215	-0.0002461969	-0.0004148006	0.0006748202	0	0	120000
0.1000365830	0.0000000000	0.0000000000	0.0004938177	-0.0001626472	-0.0004188016	0.0006676113	0	0	120000
0.1000650860	0.0000000000	0.0000000000	0.0003314347	0.0004587405	-0.0004178064	0.0007034586	0	0	120000
0.1000745850	0.0000000000	0.0000000000	-0.0000747730	0.0005434895	-0.0004128080	0.0006865729	0	0	120000
0.1000793380	0.0000000000	0.0000000000	0.0004621410	0.0000950528	-0.0003538088	0.0005897372	0	0	120000
0.1000809170	0.0000000000	0.0000000000	-0.0004320974	-0.0003595463	-0.0003768091	0.0006767324	0	0	120000
0.1000825040	0.0000000000	0.0000000000	-0.0005522948	0.0000211682	-0.0004348094	0.0007032331	0	0	120000
0.1000825040	0.0000000000	0.0000000000	-0.0001100573	-0.0005013916	-0.0004088094	0.0006562250	0	0	120000
0.1000825040	0.0000000000	0.0000000000	0.0002349302	-0.0004852535	-0.0004658094	0.0007124896	0	0	120000
0.1000793380	0.0300000000	20.0000000000	-0.0001856645	-0.0001597171	-0.0002907694	0.0003801680	1	0	120000
0.1000045850	0.0300000000	40.0000000000	-0.0002145567	-0.0001406701	-0.0002337535	0.0003470783	1	0	120000
0.1000650860	0.0300000000	60.0000000000	-0.0001994389	-0.0001086628	-0.0002587602	0.0003442968	1	0	120000
0.1000061650	0.0300000000	80.0000000000	-0.0001893261	-0.0001536962	-0.0003167469	0.0003997442	1	0	120000
0.1000745850	0.0300000000	100.0000000000	-0.0002142311	-0.0001927663	-0.0003167555	0.0004282381	1	0	120000
0.1000061650	0.0300000000	120.0000000000	-0.0002111662	-0.0001168645	-0.0002377421	0.0003387770	1	0	120000
0.1000239180	0.0300000000	140.0000000000	-0.0002611386	-0.0001939791	-0.0002227444	0.0003942541	1	0	120000
0.1000045850	0.0300000000	160.0000000000	-0.0001901520	-0.0001360962	-0.0002857416	0.0003692265	1	0	120000
0.1000825040	0.0300000000	180.0000000000	-0.0001732042	-0.0001562017	-0.0002437564	0.0003373660	1	0	120000
0.1000077510	0.0300000000	200.0000000000	-0.0001892899	-0.0002142829	-0.0002977464	0.0004127963	1	0	120000
0.1000809170	0.0300000000	220.0000000000	-0.0001403977	-0.0001333300	-0.0003117620	0.0003669931	1	0	120000
0.1000077510	0.0300000000	240.0000000000	-0.0001825155	-0.0001663372	-0.0002817533	0.0003746530	1	0	120000
0.1000825040	0.0300000000	260.0000000000	-0.0001716283	-0.0001763038	-0.0002937692	0.0003831966	1	0	120000
0.1000077510	0.0300000000	280.0000000000	-0.0002057233	-0.0001532337	-0.0002957595	0.0003915052	1	0	120000
0.1000825040	0.0300000000	300.0000000000	-0.0001997881	-0.0001261355	-0.0002367739	0.0003344957	1	0	120000
0.1000061650	0.0300000000	320.0000000000	-0.0001988159	-0.0001940209	-0.0002207619	0.0003548347	1	0	120000
0.1000302510	0.0300000000	340.0000000000	-0.0002358026	-0.0001499038	-0.0003517654	0.0004492359	1	0	120000
0.1000365830	0.0300000000	340.0000000000	-0.0002508026	-0.0001419038	-0.0002907665	0.0004093700	1	0	120000
0.1000045850	0.0300000000	360.0000000000	-0.0002457501	-0.0001637983	-0.0002267595	0.0003723478	1	0	120000
0.1000077510	0.0600000000	10.0000000000	0.0000108091	-0.0002197541	-0.0002246311	0.0003144325	2	0	120000
0.1000825040	0.0600000000	30.0000000000	-0.0000260924	-0.0002246890	-0.0002836376	0.0003627895	2	0	120000
0.1000061650	0.0600000000	50.0000000000	0.0000460216	-0.0002496614	-0.0002356178	0.0003463590	2	0	120000
0.1000302510	0.0600000000	70.0000000000	0.0000001386	-0.0001766747	-0.0002936148	0.0003426713	2	0	120000
0.1000365830	0.0600000000	70.0000000000	-0.0000118613	-0.0001126747	-0.0001616159	0.0001973727	2	0	120000
0.1000045850	0.0600000000	90.0000000000	0.0000132438	-0.0001957272	-0.0002986042	0.0003572801	2	0	120000
0.1000793380	0.0600000000	110.0000000000	-0.0000136747	-0.0001508126	-0.0001236120	0.0001954773	2	0	120000
0.1000045850	0.0600000000	130.0000000000	0.0000073718	-0.0001989206	-0.0002445968	0.0003153591	2	0	120000
0.1000650860	0.0600000000	150.0000000000	0.0000003794	-0.0001990382	-0.0002756066	0.0003399638	2	0	120000
0.1000061650	0.0600000000	170.0000000000	0.0000063457	-0.0003291512	-0.0003255989	0.0004630285	2	0	120000
0.1000745850	0.0600000000	190.0000000000	0.0000422762	-0.0001622459	-0.0002256147	0.0002810926	2	0	120000
0.1000061650	0.0600000000	210.0000000000	0.0000261777	-0.0001743110	-0.0002696093	0.0003221161	2	0	120000
0.1000239180	0.0600000000	230.0000000000	0.0000020634	-0.0002313386	-0.0003376192	0.0004092780	2	0	120000
0.1000045850	0.0600000000	250.0000000000	0.0000059464	-0.0002153253	-0.0002526230	0.0003319921	2	0	120000
0.1000825040	0.0600000000	270.0000000000	0.0000808415	-0.0002912728	-0.0002576424	0.0003971836	2	0	120000
0.1000077510	0.0600000000	290.0000000000	-0.0000342400	-0.0001831874	-0.0001316346	0.0002281615	2	0	120000
0.1000809170	0.0600000000	310.0000000000	0.0000447134	-0.0002230794	-0.0002896496	0.0003683213	2	0	120000
0.1000077510	0.0600000000	330.0000000000	0.0000067058	-0.0002389618	-0.0002256376	0.0003287248	2	0	120000
0.1000825040	0.0600000000	350.0000000000	0.0000017396	-0.0002578488	-0.0002466480	0.0003568252	2	0	120000
0.1000793380	0.0900000000	20.0000000000	0.0000543701	0.0000462826	-0.0006984216	0.0007020619	3	0	120000
0.1000045850	0.0900000000	40.0000000000	0.0000284770	0.0000833295	-0.0006753992	0.0006811159	3	0	120000
0.1000650860	0.0900000000	60.0000000000	0.0000595948	0.0000483368	-0.0006843987	0.0006886869	3	0	120000
0.1000061650	0.0900000000	80.0000000000	0.0000407068	0.0000023034	-0.0007483787	0.0007494885	3	0	120000
0.1000745850	0.0900000000	100.0000000000	0.0000558018	0.0001202335	-0.0007493817	0.0007610144	3	0	120000
0.1000061650	0.0900000000	120.0000000000	0.0000908661	0.0000841353	-0.0007043646	0.0007151677	3	0	120000
0.1000239180	0.0900000000	140.0000000000	0.0000488937	0.0000410209	-0.0006903653	0.0006933091	3	0	120000
0.1000045850	0.0900000000	160.0000000000	0.0001118803	0.0000469039	-0.0007093635	0.0007196622	3	0	120000
0.1000825040	0.0900000000	180.0000000000	0.0000898287	0.0000507985	-0.0007513815	0.0007584351	3	0	120000
0.1000077510	0.0900000000	200.0000000000	0.0000657429	0.0000247175	-0.0006493769	0.0006531641	3	0	120000
0.1000809170	0.0900000000	220.0000000000	0.0000936360	0.0000366704	-0.0007053990	0.0007125308	3	0	120000
0.1000077510	0.0900000000	240.0000000000	0.0001205181	0.0000686632	-0.0007013974	0.0007149808	3	0	120000
0.1000825040	0.0900000000	260.0000000000	0.0000744062	0.0000486965	-0.0007084201	0.0007139794	3	0	120000
0.1000077510	0.0900000000	280.0000000000	0.0001023111	0.0001467665	-0.0007414160	0.0007626963	3	0	120000
0.1000825040	0.0900000000	300.0000000000	0.0000642469	0.0000458647	-0.0007554342	0.0007595473	3	0	120000
0.1000061650	0.0900000000	320.0000000000	-0.0000307812	0.0000699791	-0.0006894237	0.0006936494	3	0	120000
0.1000302510	0.0900000000	340.0000000000	0.0000682322	0.0000410961	-0.0007044263	0.0007089153	3	0	120000
0.1000365830	0.0900000000	340.0000000000	0.0001152322	0.0000440961	-0.0007094273	0.0007200764	3	0	120000
